Type;Name;Version;purl;Supplier;Website;Source;Description;Licenses;Direct Dependency of;SHA-512 Hash;BomRef;End of support date;Life cycle support
library;busybox;1.36.1;pkg:generic/busybox@1.36.1;busybox.net;https://www.busybox.net/;https://github.com/mirror/busybox;"BusyBox combines tiny versions of many common UNIX utilities into a single small executable. It provides minimalist replacements for most of the utilities you usually find in GNU fileutils, shellutils, etc. The utilities in BusyBox generally have fewer options than their full-featured GNU cousins; however, the options that are included provide the expected functionality and behave very much like their GNU counterparts. BusyBox provides a fairly complete POSIX environment for any small or embedded system.";GPL-2.0-only & bzip2-1.0.4;;;545c4146-4555-4763-8c4f-cf227c3475a8;Not yet defined;Supported
library;but;v1.2.2;pkg:generic/but@v1.2.2;Bartosz Szurgot;https://github.com/el-bart/but;https://github.com/el-bart/but;Basic Utilities and Tools;BSD-3-Clause;"logger@v1.1.3 ; qsboost-core@git ; qsboost-hal@git ; qsboost-instrument-configuration@git ; reflect@v1.4.2";;4d715b5c-5273-4aa4-95c2-3f054369568a;Not yet defined;Supported
library;bzip2;1.0.8;pkg:generic/bzip2@1.0.8;Sourceware;https://sourceware.org/bzip2/;https://sourceware.org/bzip2/;bzip2 compresses files using the Burrows-Wheeler block-sorting text compression algorithm, and Huffman coding. Compression is generally considerably better than that achieved by more conventional LZ77/LZ78-based compressors, and approaches the performance of the PPM family of statistical compressors.;bzip2-1.0.6 & GPL-3.0-or-later & Apache-2.0 & MS-PL & BSD-3-Clause & Zlib;"boost/boost@1.84.0 ; cpython@3.12.12 ; pcre@8.45 ; pcre2@10.43 ; python/python@3.12.12 ; python_software_foundation/python@3.12.12";;5177ee33-5428-4ac2-b23c-c2bf46743ccc;Not yet defined;Supported
library;ca-certificates;20250419;pkg:generic/ca-certificates@20250419;Debian;https://salsa.debian.org/debian/ca-certificates;https://salsa.debian.org/debian/ca-certificates;This package includes PEM files of CA certificates to allow SSL-based applications to check for the authenticity of SSL connections. This derived from Debian's CA Certificates.;GPL-2.0-or-later & MPL-2.0;;;4019989e-876d-4b50-b042-3df24ab6c21e;Not yet defined;Supported
library;cairo;1.18.0;pkg:generic/cairo@1.18.0;cairographics.org;https://www.cairographics.org/;https://github.com/msteinert/cairo;Cairo is a multi-platform library providing anti-aliased vector-based rendering for multiple target backends. Paths consist of line segments and cubic splines and can be rendered at any width with various join and cap styles. All colors may be specified with optional translucence (opacity/alpha) and combined using the extended Porter/Duff compositing algebra as found in the X Render Extension.;(MPL-1.1 | LGPL-2.1-only) & GPL-3.0-or-later;"google/chrome@129.0.6668.100 ; chromium/chromium@129.0.6668.100 ; gnome/gtk@3.24.41 ; harfbuzz@8.3.0 ; pango@1.52.1 ; weston@12.0.4.imx";;7c651a9e-ba44-45ce-8dab-edc65c1f5119;Not yet defined;Supported
library;c-ares;1.27.0;pkg:generic/c-ares@1.27.0;c-ares.org;https://c-ares.org/;https://github.com/c-ares/c-ares;c-ares is a C library that resolves names asynchronously..;MIT;"grpc@1.60.1 ; nodejs@20.18.2 ; node.js@20.18.2";;c04da7db-ee0b-404a-becd-e0b502616e4c;Not yet defined;Supported
library;python/certifi;2024.2.2;pkg:generic/python/certifi@2024.2.2;python-ceritif project;https://github.com/certifi/python-certifi;https://github.com/certifi/python-certifi;This installable Python package contains a CA Bundle that you can reference in your Python code. This is useful for verifying HTTP requests, for example. This is the same CA Bundle which ships with the Requests codebase, and is derived from Mozilla Firefox's canonical set.;ISC;"requests@2.32.4 ; urllib3@2.2.2";;81792a44-ad78-4672-b6bd-1c4327a0222c;Not yet defined;Supported
library;python/cffi;1.16.0;pkg:generic/python/cffi@1.16.0;Cffi project;https://cffi.readthedocs.io/;https://cffi.readthedocs.io/;Foreign Function Interface for Python calling C code.;MIT;"python/cryptography@42.0.5 ; python/pycryptodomex@3.20.0";;56effb31-dfff-4dd6-9476-8c50317ee4e5;Not yet defined;Supported
library;python/chardet;5.2.0;pkg:generic/python/chardet@5.2.0;Ian Cordasco;https://github.com/chardet/chardet;https://github.com/chardet/chardet;Universal encoding detector for Python 2 and 3.;LGPL-2.1-only;requests@2.32.4;;2ffb0f63-6c35-4d8c-a5f4-e042f996714d;;
library;google/chrome;129.0.6668.100;pkg:generic/google/chrome@129.0.6668.100;;;;Chromium is an open-source browser project that aims to build a safer, faster, and more stable way for all users to experience the web.;BSD-3-Clause & LGPL-2.0-or-later & LGPL-2.1-or-later;;;512c9781-e686-4f52-93f7-2ddf2112aceb;;
library;chromium/chromium;129.0.6668.100;pkg:generic/chromium/chromium@129.0.6668.100;;;;Chromium is an open-source browser project that aims to build a safer, faster, and more stable way for all users to experience the web.;BSD-3-Clause & LGPL-2.0-or-later & LGPL-2.1-or-later;;;d59a7fef-0177-4d8f-a942-ebf4812de5bd;;
library;chromium-hardening-policies;1.0;pkg:generic/chromium-hardening-policies@1.0;;;;Installs json file with policies for chromium used as a kiosk app;CLOSED;;;7f7d1e25-0f00-46cb-8d4c-d79f0d48ba90;;
library;python/click;8.1.7;pkg:generic/python/click@8.1.7;click maintainers;https://click.palletsprojects.com/;https://github.com/pallets/click/;"Click is a Python package for creating beautiful command line interfaces in a composable way with as little code as necessary. It's the ""Command Line Interface Creation Kit"". It's highly configurable but comes with sensible defaults out of the box.";BSD-3-Clause;python/flask@3.0.2;;b3cec468-eb89-4e99-9533-07b7bfeed09c;;
library;cpython;3.12.12;pkg:generic/cpython@3.12.12;Python Software Foundation;https://www.python.org/;https://github.com/python/cpython;Python is a programming language that lets you work more quickly and integrate your systems more effectively.;PSF-2.0;;;03654da3-fa1b-4928-a2d1-f9a21e101537;;
library;python/cryptography;42.0.5;pkg:generic/python/cryptography@42.0.5;cryptography maintainers;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography/;Provides cryptographic recipes and primitives to python developers.;Apache-2.0 | BSD-3-Clause;"python/PyJWT@2.8.0 ; python/pyOpenSSL@24.0.0 ; urllib3@2.2.2";;b615059e-2aa1-4885-8158-d6d9dc94a48a;;
library;cryptopp;8.6.0;pkg:generic/cryptopp@8.6.0;;;;A free C++ class library of cryptographic schemes.;BSL-1.0;qsboost-hal@git;;b319d5a8-64d3-42e3-935e-5a88c169df5a;;
library;cryptsetup;2.7.5;pkg:generic/cryptsetup@2.7.5;;;;Cryptsetup is used to conveniently setup dm-crypt managed device-mapper mappings. These include plain dm-crypt volumes and LUKS volumes. The difference is that LUKS uses a metadata header and can hence offer more features than plain dm-crypt. On the other hand, the header is visible and vulnerable to damage.;GPL-2.0-with-OpenSSL-exception;tdx-enc-handler@1.0;;976b3bbc-82ef-4259-aa5a-7005903bec64;;
library;curl/curl;8.7.1;pkg:generic/curl/curl@8.7.1;The curl project;https://curl.se/;https://github.com/curl/curl;It uses URL syntax to transfer data to and from servers. curl is a widely used because of its ability to be flexible and complete complex tasks. For example, you can use curl for things like user authentication, HTTP post, SSL connections, proxy support, FTP uploads, and more!;curl;"google/chrome@129.0.6668.100 ; chromium/chromium@129.0.6668.100 ; elfutils@0.191 ; fluentbit@3.2.10 ; gperftools@2.15 ; mongodb@4.4.29 ; xerces-c@3.2.5";;0eed1101-8418-48cf-a9fe-c4e2206291f2;;
library;daniel_stenberg/curl;8.7.1;pkg:generic/daniel_stenberg/curl@8.7.1;The curl project;https://curl.se/;https://github.com/curl/curl;It uses URL syntax to transfer data to and from servers. curl is a widely used because of its ability to be flexible and complete complex tasks. For example, you can use curl for things like user authentication, HTTP post, SSL connections, proxy support, FTP uploads, and more!;curl;;;a69d7a87-bbb5-4c83-9844-f9286dd9b25b;;
library;haxx/curl;8.7.1;pkg:generic/haxx/curl@8.7.1;The curl project;https://curl.se/;https://github.com/curl/curl;It uses URL syntax to transfer data to and from servers. curl is a widely used because of its ability to be flexible and complete complex tasks. For example, you can use curl for things like user authentication, HTTP post, SSL connections, proxy support, FTP uploads, and more!;curl;;;63e4de23-62c7-479c-a22c-28274ff13d1d;;
library;python/cycler;0.12.1;pkg:generic/python/cycler@0.12.1;cycler maintainers;https://matplotlib.org/cycler/;https://github.com/matplotlib/cycler;Composable style cycles.;BSD-3-Clause;python/matplotlib@3.7.2;;966cf6ec-486b-4972-bf9a-d5ba5dec75ef;;
library;cyrus-sasl;2.1.28;pkg:generic/cyrus-sasl@2.1.28;;;;Generic client/server library for SASL authentication.;BSD-4-Clause;mongo-c-driver@r1.24;;06e8b41e-7fdc-47cc-be22-a3678c27f358;;
library;freedesktop/dbus;1.14.10;pkg:generic/freedesktop/dbus@1.14.10;D-Bus Project;https://dbus.freedesktop.org/;https://gitlab.freedesktop.org/dbus/dbus;"D-Bus is a message bus system, a simple way for applications to talk to one another. In addition to interprocess communication, D-Bus helps coordinate process lifecycle; it makes it simple and reliable to code a \""single instance\"" application or daemon, and to launch applications and daemons on demand when their services are needed.";AFL-2.1 | GPL-2.0-or-later;"at-spi2-core@2.50.1 ; qt@5.15.13 ; qtbase@5.15.13 ; systemd@255.21 ; upower@0.99.17 ; weston@12.0.4.imx";;6ff7eb94-1c29-4fd6-8455-81a7e4d74b11;;
library;d-bus_project/d-bus;1.14.10;pkg:generic/d-bus_project/d-bus@1.14.10;D-Bus Project;https://dbus.freedesktop.org/;https://gitlab.freedesktop.org/dbus/dbus;"D-Bus is a message bus system, a simple way for applications to talk to one another. In addition to interprocess communication, D-Bus helps coordinate process lifecycle; it makes it simple and reliable to code a \""single instance\"" application or daemon, and to launch applications and daemons on demand when their services are needed.";AFL-2.1 | GPL-2.0-or-later;;;fd9448fa-9a36-48d7-9c47-9b5be724adde;;
library;desktop-file-utils;0.27;pkg:generic/desktop-file-utils@0.27;;;;desktop-file-utils contains a few command line utilities for working with desktop entries;GPL-2.0-or-later;"google/chrome@129.0.6668.100 ; chromium/chromium@129.0.6668.100";;2a6501fc-cd44-4389-99fb-ea32e5011677;;
library;dhcpcd;10.0.6;pkg:generic/dhcpcd@10.0.6;;;;dhcpcd runs on your machine and silently configures your computer to work on the attached networks without trouble and mostly without configuration.;BSD-2-Clause;;;b2cd6190-424b-4964-aad3-4549650b1d63;;
library;disable-usb-keyboard-selected-keys;1.0;pkg:generic/disable-usb-keyboard-selected-keys@1.0;;;;Installs hwdb files that disable selected keys on usb keyboards;CLOSED;;;c7630c98-b9cd-4901-93a9-01a16a8ecd1a;;
library;dosfstools;4.2;pkg:generic/dosfstools@4.2;;;;DOS FAT Filesystem Utilities.;GPL-3.0-only;;;5cd2c4bb-9826-4ae1-8123-bc0525dfd3c2;;
library;e2fsprogs;1.47.0;pkg:generic/e2fsprogs@1.47.0;;;;The Ext2 Filesystem Utilities (e2fsprogs) contain all of the standard utilities for creating, fixing, configuring , and debugging ext2 filesystems.;GPL-2.0-only & LGPL-2.0-only & BSD-3-Clause & MIT;;;f7e05b8a-be0d-4edd-9309-82692f5e1c83;;
library;elfutils;0.191;pkg:generic/elfutils@0.191;;;;elfutils is a collection of utilities and libraries to read, create and modify ELF binary files, find and handle DWARF debug data, symbols, thread state and stacktraces for processes and core files on GNU/Linux.;( GPL-2.0-or-later | LGPL-3.0-or-later ) & GPL-3.0-or-later;binutils@2.42;;c47108c0-a1ed-41bc-9bbf-948d71252e42;;
library;encrypted-coredump;1.0;pkg:generic/encrypted-coredump@1.0;;;;Encrypted core dump handler;CLOSED;;;5964b58a-9f5c-40a0-988e-a53b4888a5ca;;
library;envoy;1.37.0;pkg:generic/envoy@1.37.0;;;;Envoy is an open source edge and service proxy, designed for cloud-native applications;Apache-2.0;;;8efc0b68-eac2-43f4-9ad4-3ee3ca4bc62d;;
library;expat;2.6.4;pkg:generic/expat@2.6.4;Expat Project;https://libexpat.github.io/;https://github.com/libexpat/libexpat;Expat is an XML parser library written in C. It is a stream-oriented parser in which an application registers handlers for things the parser might find in the XML document (like start tags);MIT;"google/chrome@129.0.6668.100 ; chromium/chromium@129.0.6668.100 ; cpython@3.12.12 ; freedesktop/dbus@1.14.10 ; d-bus_project/d-bus@1.14.10 ; fontconfig@2.15.0 ; freedesktop/libdbus@1.14.10 ; poco@1.12.5p2 ; python/python@3.12.12 ; python_software_foundation/python@3.12.12 ; wayland@1.22.0";;08d8270e-2ba6-4e3a-a5ce-92617b2f347b;;
library;firmware-imx;8.26.1;pkg:generic/firmware-imx@8.26.1;;;;Freescale i.MX firmware such as for the VPU;Proprietary;;;ccc72c4f-3605-477a-ab14-b44c0fa85b7f;;
library;flac;1.4.3;pkg:generic/flac@1.4.3;Xiph.Org Foundation;https://xiph.org/flac/;https://github.com/xiph/flac;FLAC stands for Free Lossless Audio Codec, a lossless audio compression format.;GFDL-1.2 & GPL-2.0-or-later & LGPL-2.1-or-later & BSD-3-Clause;"google/chrome@129.0.6668.100 ; chromium/chromium@129.0.6668.100";;f3bd9ebd-000a-43f8-b320-4ce088770c56;;
library;python/flask;3.0.2;pkg:generic/python/flask@3.0.2;Flask maintainers;https://flask.palletsprojects.com/;https://github.com/pallets/flask/;Flask is a microframework for Python based on Werkzeug, Jinja 2 and good intentions. And before you ask: It’s BSD licensed!;BSD-3-Clause;;;66779f74-7465-42de-adf2-c83542d94fa6;;
library;fluentbit;3.2.10;pkg:generic/fluentbit@3.2.10;;;;Fluent Bit is a data collector, processor and forwarder for Linux. It supports several input sources and backends (destinations) for your data.;Apache-2.0;qsboost-logger@git;;886d4ef9-a536-40c0-aee7-fab163d5adae;;
library;fontconfig;2.15.0;pkg:generic/fontconfig@2.15.0;;;;Fontconfig is a font configuration and customization library, which does not depend on the X Window System. It is designed to locate fonts within the system and select them according to requirements specified by applications. Fontconfig is not a rasterization library, nor does it impose a particular rasterization library on the application. The X-specific library 'Xft' uses fontconfig along with freetype to specify and rasterize fonts.;MIT & MIT & PD;"cairo@1.18.0 ; pango@1.52.1";;bd766c2f-fe8d-466e-948c-ab74422e5207;;
library;python/fonttools;4.54.1;pkg:generic/python/fonttools@4.54.1;Just van Rossum;http://github.com/fonttools/fonttools;http://github.com/fonttools/fonttools;A library to manipulate font files from Python..;MIT;python/matplotlib@3.7.2;;922886f6-f348-4845-b85d-c9d368ba1f67;;
library;freetype;2.13.2;pkg:generic/freetype@2.13.2;The FreeType Project;https://freetype.org/;https://gitlab.freedesktop.org/freetype/freetype;FreeType is a software font engine that is designed to be small, efficient, highly customizable, and portable while capable of producing high-quality output (glyph images). It can be used in graphics libraries, display servers, font conversion tools, text image generation tools, and many other products as well.;(FTL | GPL-2.0-or-later) & MIT;"cairo@1.18.0 ; fontconfig@2.15.0 ; harfbuzz@8.3.0 ; python/matplotlib@3.7.2 ; pango@1.52.1 ; pillow@10.3.0 ; qt@5.15.13 ; qtbase@5.15.13";;339de3f8-3b23-40f8-8696-fade18c4382c;;
library;fribidi;1.0.14;pkg:generic/fribidi@1.0.14;;;;It provides utility functions to aid in the development of interactive editors and widgets that implement BiDi functionality. The BiDi algorithm is a prerequisite for supporting right-to-left scripts such as Hebrew, Arabic, Syriac, and Thaana.;LGPL-2.1-or-later;pango@1.52.1;;9ac5c0b5-cdfb-4343-8244-3007833721c8;;
library;python/gast;0.5.4;pkg:generic/python/gast@0.5.4;serge-sans-paille;https://github.com/serge-sans-paille/gast/;https://github.com/serge-sans-paille/gast/;A generic AST to represent Python2 and Python3's Abstract Syntax Tree(AST)..;BSD-3-Clause;python/pythran@0.16.1;;ab673dcc-e412-4fd8-8cb4-23ef1f9d59d2;;
library;gcc;13.4.0;pkg:generic/gcc@13.4.0;GNU Project (FSF);https://gcc.gnu.org/;"https://gcc.gnu.org/git/?p=gcc.git;a=summary";The GNU Compiler Collection includes front ends for C, C++, Objective-C, Fortran, Ada, Go, and D, as well as libraries for these languages (libstdc++,...). GCC was originally written as the compiler for the GNU operating system.;GPL-3.0-with-GCC-exception & GPL-3.0-only;;;170f0779-e4f9-4960-82c4-03da5622d137;;
library;gdbm;1.23;pkg:generic/gdbm@1.23;;;;Library of database functions that use extensible hashing and work similar to the standard UNIX dbm. These routines are provided to a programmer needing to create and manipulate a hashed database.;GPL-3.0-only;"cpython@3.12.12 ; perl@5.38.4 ; python/python@3.12.12 ; python_software_foundation/python@3.12.12";;c2ac84df-a0af-4ba4-ad6c-e5285cb3b907;;
library;gdk-pixbuf;2.42.12;pkg:generic/gdk-pixbuf@2.42.12;GNOME Project;https://gitlab.gnome.org/GNOME/gdk-pixbuf;https://gitlab.gnome.org/GNOME/gdk-pixbuf;The GDK Pixbuf library provides: Image loading and saving facilities, fast scaling and compositing of pixbufs and Simple animation loading (ie. animated GIFs);LGPL-2.1-or-later;"adwaita-icon-theme@45.0 ; google/chrome@129.0.6668.100 ; chromium/chromium@129.0.6668.100 ; gnome/gtk@3.24.41 ; weston@12.0.4.imx";;42576bd7-3bfa-491f-ad4a-a4997c1e380d;;
library;gettext;0.22.5;pkg:generic/gettext@0.22.5;;;;GNU gettext is a set of tools that provides a framework to help other programs produce multi-lingual messages. These tools include a set of conventions about how programs should be written to support message catalogs, a directory and file naming organization for the message catalogs themselves, a runtime library supporting the retrieval of translated messages, and a few stand-alone programs to massage in various ways the sets of translatable and already translated strings.;GPL-3.0-or-later & LGPL-2.1-or-later;;;7c2ff3a0-eed9-48b1-a88a-9c1f550a0681;;
library;glib;2.78.6;pkg:generic/glib@2.78.6;GNOME Project;https://gitlab.gnome.org/GNOME/glib;https://gitlab.gnome.org/GNOME/glib;GLib is a general-purpose utility library, which provides many useful data types, macros, type conversions, string utilities, file utilities, a main loop abstraction, and so on.;LGPL-2.1-or-later & BSD-3-Clause & PD;"at-spi2-core@2.50.1 ; cairo@1.18.0 ; google/chrome@129.0.6668.100 ; chromium/chromium@129.0.6668.100 ; freedesktop/dbus@1.14.10 ; d-bus_project/d-bus@1.14.10 ; desktop-file-utils@0.27 ; gdk-pixbuf@2.42.12 ; gettext@0.22.5 ; gnome/gtk@3.24.41 ; harfbuzz@8.3.0 ; freedesktop/libdbus@1.14.10 ; libgudev@238 ; pango@1.52.1 ; shared-mime-info@2.4 ; upower@0.99.17 ; weston@12.0.4.imx";;a691beb9-062a-4960-9da6-c5b9a231d236;;
